,idProposicao,idDeputadoAutor
551,2235768,204353.0
552,2235768,204430.0
553,2235768,204459.0
554,2235768,204412.0
555,2235768,204377.0
556,2235743,204421.0
557,2235740,204407.0
558,2234737,73531.0
559,2234736,204570.0
560,2234735,204572.0
561,2234734,204572.0
562,2234733,204572.0
563,2234732,204572.0
564,2234731,152610.0
565,2234730,204572.0
584,2234709,204359.0
585,2234708,204359.0
587,2234706,74467.0
588,2234705,204365.0
589,2234703,160575.0
592,2234700,204433.0
593,2234699,204433.0
594,2234698,150418.0
595,2234697,81297.0
596,2234696,204433.0
597,2234695,204433.0
598,2234694,204433.0
599,2234693,204433.0
600,2234692,204452.0
601,2234691,178981.0
602,2234690,73701.0
603,2234689,178981.0
604,2234688,178981.0
605,2234687,204481.0
606,2234686,204485.0
608,2234684,204457.0
609,2234683,73531.0
610,2234683,74784.0
611,2234683,152605.0
612,2234683,134812.0
613,2234683,76874.0
614,2234683,204407.0
615,2234683,204535.0
616,2234683,205548.0
617,2234682,160575.0
618,2234681,204457.0
619,2234680,204457.0
620,2234679,204457.0
621,2234678,204457.0
622,2234677,204457.0
623,2234676,204488.0
624,2234675,204359.0
625,2234674,178987.0
626,2234673,160604.0
627,2234672,204404.0
628,2234671,74398.0
629,2234670,204553.0
630,2234669,204500.0
631,2234668,73531.0
632,2234667,73531.0
633,2234666,74161.0
634,2234666,160604.0
636,2234664,204500.0
637,2234663,204422.0
638,2234662,74356.0
639,2234661,157130.0
640,2234660,204438.0
641,2234659,204438.0
642,2234658,178954.0
643,2234657,204455.0
645,2234655,164360.0
646,2234655,178832.0
647,2234655,204353.0
648,2234655,204459.0
649,2234654,74043.0
650,2234654,133439.0
651,2234654,160587.0
652,2234654,160665.0
653,2234654,178832.0
654,2234654,178945.0
655,2234654,178947.0
656,2234654,204491.0
657,2234654,204357.0
658,2234654,204503.0
659,2234654,204459.0
660,2234654,204374.0
661,2234654,178854.0
662,2234653,178989.0
663,2234652,204425.0
664,2234651,160610.0
665,2234650,74158.0
666,2234649,74158.0
667,2234648,160639.0
668,2234647,160639.0
669,2234646,160511.0
670,2234645,160639.0
671,2234644,160639.0
672,2234643,160639.0
673,2234642,160639.0
674,2234641,160639.0
675,2234640,160635.0
676,2234639,160639.0
677,2234638,160635.0
678,2234637,160639.0
679,2234636,204516.0
680,2234636,204523.0
