,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
3617,74273,Jefferson Campos,56,JEFFERSON ALVES DE CAMPOS,M,SP,Ourinhos
3627,74283,Vicentinho,56,VICENTE PAULO DA SILVA,M,RN,Santa Cruz
3643,74299,Leonidas Cristino,56,JOSE LEONIDAS DE MENEZES CRISTINO,M,CE,Coreau
3649,74305,Roberto Pessoa,56,ROBERTO SOARES PESSOA,M,CE,Fortaleza
3660,74317,Julio Cesar,56,JULIO CESAR DE CARVALHO LIMA,M,PI,Guadalupe
3662,74319,Paes Landim,56,JOSE FRANCISCO PAES LANDIM,M,PI,Sao Joao do Piaui
3695,74352,Nilson Pinto,56,NILSON PINTO DE OLIVEIRA,M,PA,Belem
3699,74356,Silas Camara,56,SILAS CAMARA,M,AC,Rio Branco
3709,74366,Joao Campos,56,JOAO CAMPOS DE ARAUJO,M,TO,Peixe
3714,74371,Rubens Otoni,56,RUBENS OTONI GOMIDE,M,GO,Goianesia
3717,74374,Geraldo Resende,56,GERALDO RESENDE PEREIRA,M,MG,Corrego Danta
3719,74376,Vander Loubet,56,VANDER LUIZ DOS SANTOS LOUBET,M,MS,Porto Murtinho
3726,74383,Giacobo,56,FERNANDO LUCIO GIACOBO,M,PR,Pato Branco
3741,74398,Maria do Rosario,56,MARIA DO ROSARIO NUNES,F,RS,Veranopolis
3742,74399,Onyx Lorenzoni,56,ONYX DORNELLES LORENZONI,M,RS,Porto Alegre
3743,74400,Paulo Pimenta,56,PAULO ROBERTO SEVERO PIMENTA,M,RS,Santa Maria
3762,74419,Gonzaga Patriota,56,LUIZ GONZAGA PATRIOTA,M,PE,Sertania
3782,74439,Wolney Queiroz,56,WOLNEY QUEIROZ MACIEL,M,PE,Caruaru
3802,74459,Atila Lira,56,ATILA FREITAS LIRA,M,PI,Piripiri
3810,74467,Damiao Feliciano,56,DAMIAO FELICIANO DA SILVA,M,PB,Campina Grande
3814,74471,Andre de Paula,56,ANDRE CARLOS ALVES DE PAULA FILHO,M,PE,Recife
3821,74478,Luciano Bivar,56,LUCIANO CALDAS BIVAR,M,PE,Recife
3861,74537,Claudio Cajado,56,CLAUDIO CAJADO SAMPAIO,M,BA,Salvador
3878,74554,Jose Rocha,56,JOSE ALVES ROCHA,M,BA,Coribe
