,Unnamed: 0,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento,betweenness_centrality
211,7092,164359,Delegado Waldir,56,WALDIR SOARES DE OLIVEIRA,M,PR,Jacarezinho,0.0
212,7093,164360,Carmen Zanotto,56,CARMEN EMILIA BONFA ZANOTTO,F,SC,Lages,0.0
213,7099,166402,Magda Mofatto,56,MAGDA MOFATTO HON,F,SP,Limeira,0.0
215,7116,171617,Paulao,56,PAULO FERNANDO DOS SANTOS,M,AL,Maceio,0.0
216,7118,171619,Margarida Salomao,56,MARIA MARGARIDA MARTINS SALOMAO,F,MG,Juiz de Fora,0.0
217,7122,171623,Fabio Reis,56,FABIO DE ALMEIDA REIS,M,SE,Lagarto,0.0
218,7139,177282,Subtenente Gonzaga,56,LUIZ GONZAGA RIBEIRO,M,MG,Manhuacu,0.0
219,7148,178829,Capitao Augusto,56,JOSE AUGUSTO ROSA,M,SP,Ourinhos,0.0
221,7150,178831,Andre Abdon,56,ANDRE DOS SANTOS ABDON,M,PA,Belem,0.0
222,7151,178832,Leandre,56,LEANDRE DAL PONTE,F,PR,Pato Branco,0.0
223,7152,178833,Alexandre Serfiotis,56,ALEXANDRE AUGUSTUS SERFIOTIS,M,RJ,Porto Real,0.0
224,7154,178835,Afonso Motta,56,AFONSO ANTUNES DA MOTTA,M,RS,Porto Alegre,0.0
225,7155,178836,Alan Rick,56,ALAN RICK MIRANDA,M,AC,Rio Branco,0.0
226,7158,178839,Jessica Sales,56,JESSICA ROJAS SALES,F,AC,Cruzeiro do Sul,0.0
227,7161,178842,Jhc,56,JOAO HENRIQUE HOLANDA  CALDAS,M,AL,Maceio,0.0
228,7162,178843,Marx Beltrao,56,MARX BELTRAO LIMA SIQUEIRA,M,AL,Maceio,0.0
230,7173,178854,Elmar Nascimento,56,ELMAR JOSE VIEIRA NASCIMENTO,M,BA,Campo Formoso,0.0017602998062691473
231,7176,178857,Jorge Solla,56,JORGE JOSE SANTOS PEREIRA SOLLA,M,BA,Salvador,0.0
232,7177,178858,Mario Negromonte Jr.,56,MARIO SILVIO MENDES NEGROMONTE JUNIOR,M,BA,Paulo Afonso,0.0
233,7179,178860,Paulo Azi,56,PAULO VELLOSO DANTAS AZI,M,BA,Salvador,0.0021194757914341817
234,7180,178861,Ronaldo Carletto,56,RONALDO CARLETTO,M,ES,Conceicao da Barra,0.001001289640317493
235,7182,178863,Uldurico Junior,56,ULDURICO ALENCAR PINTO,M,DF,Brasilia,0.0
236,7185,178866,Luizianne Lins,56,LUIZIANNE DE OLIVEIRA LINS,F,CE,Fortaleza,0.0
237,7190,178871,Evair Vieira de Melo,56,EVAIR VIEIRA DE MELO,M,ES,Conceicao do Castelo,0.0
238,7192,178873,Helder Salomao,56,HELDER IGNACIO SALOMAO,M,ES,Colatina,0.0
239,7193,178874,Sergio Vidigal,56,ANTONIO SERGIO ALVES VIDIGAL,M,ES,Vitoria,0.0
240,7195,178876,Celio Silveira,56,CELIO ANTONIO DA SILVEIRA,M,GO,Luziania,0.0
241,7198,178879,Lucas Vergilio,56,LUCAS DE CASTRO SANTOS,M,GO,Goiania,0.0
242,7200,178881,Aluisio Mendes,56,ALUISIO GUIMARAES MENDES FILHO,M,MG,Belo Horizonte,0.0
243,7201,178882,Andre Fufuca,56,ANDRE LUIZ CARVALHO RIBEIRO,M,MA,Santa Ines,0.0
244,7203,178884,Hildo Rocha,56,HILDO AUGUSTO DA ROCHA NETO,M,MA,Sao Luis,0.0
245,7205,178886,Juscelino Filho,56,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,M,MA,Sao Luis,0.0
246,7206,178887,Rubens Pereira Junior,56,RUBENS PEREIRA E SILVA JUNIOR,M,MA,Sao Luis,0.0
247,7208,178889,Ze Carlos,56,JOSE CARLOS NUNES JUNIOR,M,MA,Sao Luis,0.0
248,7214,178895,Misael Varella,56,MISAEL ARTUR FERREIRA VARELLA,M,MG,Muriae,0.0
