deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo
139285,Lidice da Mata,48,56,F
141335,Beto Faro,52,56,M
141372,AELTON FREITAS,53,55,M
141379,ANDREIA ZITO,53,55,F
141383,ANTONIO BULHOES,53,55,M
141384,VALADARES FILHO,53,55,M
141385,DUARTE NOGUEIRA,53,55,M
141389,INDIO DA COSTA,53,55,M
141391,Arnaldo Jardim,53,56,M
141394,BRUNO ARAUJO,53,55,M
141398,Carlos Zarattini,53,56,M
141401,Carlos Bezerra,46,56,M
141405,Celso Maldaner,53,56,M
141408,Cleber Verde,53,56,M
141411,Dagoberto Nogueira,53,56,M
141412,DAVI ALVES SILVA JUNIOR,53,55,M
141413,DECIO LIMA,53,55,M
141417,Edio Lopes,53,56,M
141421,Eduardo da Fonte,53,56,M
141422,Efraim Filho,53,56,M
141427,Fabio Ramalho,53,56,M
141428,Fabio Faria,53,56,M
141429,FELIPE MAIA,53,55,M
141430,FELIPE BORNIER,53,55,M
141431,Fernando Coelho Filho,53,56,M
141434,Flaviano Melo,53,56,M
141439,Chico D'Angelo,53,56,M
141440,CHICO LOPES,53,55,M
141441,GEORGE HILTON,53,55,M
141445,PEPE VARGAS,53,55,M
141450,Hugo Leal,53,56,M
141454,ALFREDO KAEFER,53,55,M
141458,Joao Carlos Bacelar,53,56,M
141459,Joao Maia,53,56,M
141464,Jose Airton Felix Cirilo,53,56,M
141470,Jose Guimaraes,53,56,M
141472,RICARDO TRIPOLI,53,55,M
141474,JULIAO AMIN,53,55,M
141478,LAERTE BESSA,53,55,M
141480,LAZARO BOTELHO,53,55,M
141482,LEONARDO QUINTAO,53,55,M
141483,LINDOMAR GARCON,53,55,M
141484,LUCIO VALE,53,55,M
141485,LUIZ CARLOS BUSATO,53,55,M
141487,LUIZ FERNANDO FARIA,53,55,M
141488,Paulo Teixeira,53,56,M
141490,MANOEL JUNIOR,53,55,M
141500,MARCOS MONTES,53,55,M
141503,JO MORAES,53,55,F
141507,MAURO MARIANI,53,55,M
141508,Mauro Nazif,53,56,M
141509,MIGUEL CORREA,53,55,M
141513,Bilac Pinto,53,56,M
141515,OTAVIO LEITE,53,55,M
141516,Paulo Abi-Ackel,53,56,M
141517,PAULO HENRIQUE LUSTOSA,53,55,M
141518,Paulo Pereira da Silva,53,56,M
141522,SABINO CASTELO BRANCO,53,55,M
141523,Raul Henry,53,56,M
141527,RENATO MOLLING,53,55,M
141529,ROBERTO BRITTO,53,55,M
141531,Rodrigo de Castro,53,56,M
141532,ROCHA LOURES,53,55,M
141535,ROGERIO MARINHO,53,55,M
141536,ROMULO GOUVEIA,53,55,M
141542,SERGIO MORAES,53,55,M
141552,Valtenir Pereira,53,56,M
141553,Vanderlei Macris,53,56,M
141555,Vinicius Carvalho,53,56,M
141558,WALDIR MARANHAO,53,55,M
141560,WALTER IHOSHI,53,55,M
141562,LELO COIMBRA,53,55,M
141563,WILLIAM WOO,53,55,M
143632,Domingos Neto,54,56,M
144523,DANIEL VILELA,55,55,M
146307,Neri Geller,53,56,M
146788,Marcelo Aro,55,56,M
146829,FABIANO HORTA,55,55,M
146949,ROSINHA DA ADEFAL,54,55,F
148134,PROFESSOR VICTORIO GALLI,53,55,M
150418,Marcio Marinho,53,56,M
151208,Laercio Oliveira,53,56,M
151965,MAIA FILHO,53,55,M
152605,Glauber Braga,53,56,M
152610,Roberto Alves,53,56,M
154178,Milton Vieira,53,56,M
159237,Assis Carvalho,54,56,M
159238,Marcus Pestana,54,56,M
160426,ROGERIO ROSSO,53,55,M
160508,Afonso Florence,54,56,M
160509,JORGINHO MELLO,54,55,M
160510,Luis Tibe,54,56,M
160511,Alessandro Molon,54,56,M
160512,Aureo Ribeiro,54,56,M
160515,RONALDO BENEDET,54,55,M
160517,Paulo Foletto,54,56,M
160518,Weliton Prado,54,56,M
160527,Aguinaldo Ribeiro,54,56,M
160528,Danilo Cabral,54,56,M
160530,ANTONIO IMBASSAHY,54,55,M
160531,Jhonatan de Jesus,54,56,M
160532,Eli Correa Filho,54,56,M
160534,Lauriete,54,56,F
160535,Marcon,54,56,M
160536,MARCO TEBALDI,54,55,M
160538,Bohn Gass,54,56,M
160541,Arthur Lira,54,56,M
160543,ANDRE MOURA,54,55,M
160544,JUNJI ABE,54,55,M
160545,Alexandre Leite,54,56,M
160547,LUIZ ARGOLO,54,55,M
160551,ANDERSON FERREIRA,54,55,M
160552,Danrlei de Deus Hinterholz,54,56,M
160553,Antonio Brito,54,56,M
160556,Padre Joao,54,56,M
160558,Paulo Freire Costa,54,56,M
160559,Alceu Moreira,54,56,M
160561,MISSIONARIO JOSE OLIMPIO,54,55,M
160565,MARA GABRILLI,54,55,F
160566,NELSON PADOVANI,54,55,M
160567,NELSON MARCHEZAN JUNIOR,52,55,M
160569,Waldenor Pereira,54,56,M
160570,Jeronimo Goergen,54,56,M
160571,JOAO RODRIGUES,54,55,M
160572,JORGE CORTE REAL,54,55,M
160573,JOAO ARRUDA,54,55,M
160575,Erika Kokay,54,56,F
160576,CESAR HALUM,54,55,M
160578,EDMAR ARRUDA,54,55,M
160581,ASSIS MELO,54,55,M
160582,ALBERTO FILHO,54,55,M
160587,Fabio Trad,54,56,M
160588,Diego Andrade,54,56,M
160589,Bruna Furlan,54,56,F
160591,Vinicius Gurgel,54,56,M
160592,Zeca Dirceu,54,56,M
160596,HEULER CRUVINEL,54,55,M
160598,Flavia Morais,54,56,F
160599,Dimas Fabiano,54,56,M
160600,Arthur Oliveira Maia,54,56,M
160601,Pr. Marco Feliciano,54,56,M
160602,ARNALDO JORDY,54,55,M
160604,Pedro Uczai,54,56,M
160607,JOSE STEDILE,54,55,M
160609,WALTER TOSTA,54,55,M
160610,Valmir Assuncao,54,56,M
160611,TONINHO PINHEIRO,54,55,M
160612,SERGIO ZVEITER,54,55,M
160613,SIBA MACHADO,54,55,M
160617,THIAGO PEIXOTO,54,55,M
160619,Jose Nunes,54,56,M
160620,WASHINGTON REIS,54,55,M
160621,Sandro Alex,54,56,M
160622,VICENTE CANDIDO,54,55,M
160628,LUCIANA SANTOS,54,55,F
160630,SAGUAS MORAES,54,55,M
160631,WALNEY ROCHA,54,55,M
160632,Ze Silva,54,56,M
160633,MANDETTA,54,55,M
160635,Ruy Carneiro,54,56,M
160636,WILSON FILHO,54,55,M
160637,RONALDO FONSECA,54,55,M
160639,Professora Dorinha Seabra Rezende,54,56,F
160640,Eros Biondini,54,56,M
160641,Professora Marcivania,54,56,F
160642,Pastor Eurico,54,56,M
160643,DR. JORGE SILVA,54,55,M
160645,Luiz Carlos,54,56,M
160646,DELEGADO FRANCISCHINI,54,55,M
160648,JUNIOR COIMBRA,54,55,M
160649,ESPERIDIAO AMIN,46,55,M
160651,Rogerio Peninha Mendonca,54,56,M
160652,ROBERTO TEIXEIRA,54,55,M
160653,Roberto de Lucena,54,56,M
160654,RENZO BRAZ,54,55,M
160655,Ricardo Izar,54,56,M
160659,KEIKO OTA,54,55,F
160660,MARCELO AGUIAR,54,55,M
160663,LEOPOLDO MEYER,54,55,M
160665,Augusto Coutinho,54,56,M
160666,Felix Mendonca Junior,54,56,M
160667,Guilherme Mussi,54,56,M
160669,Genecias Noronha,54,56,M
160672,Jean Wyllys,54,56,M
160673,Giovani Cherini,54,56,M
160674,Hugo Motta,54,56,M
160676,FERNANDO TORRES,54,55,M
160677,FRANCISCO FLORIANO,54,55,M
160758,Domingos Savio,54,56,M
160976,Tiririca,54,56,M
162174,POLICARPO,54,55,M
162332,Luiz Nishimori,54,56,M
163321,RONALDO NOGUEIRA,54,55,M
163831,FERNANDO JORDAO,54,55,M
164359,Delegado Waldir,54,56,M
164360,Carmen Zanotto,54,56,F
166401,NILSON LEITAO,54,55,M
166402,Magda Mofatto,54,56,F
167493,WEVERTON ROCHA,54,55,M
167614,SEVERINO NINHO,54,55,M
167722,MARCOS ROGERIO,54,55,M
168175,Simplicio Araujo,54,56,M
170673,PROFESSOR SERGIO DE OLIVEIRA,54,55,M
171617,Paulao,54,56,M
171619,Margarida Salomao,54,56,F
171620,RENATO ANDRADE,54,55,M
