,Unnamed: 0,deputado_id,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,ufNascimento,betweenness_centrality,eigenvecto_centrality
935,7514,204492,56,56,M,MG,0.0,3.9074932244178144e-11
936,7515,204494,56,56,M,MG,0.0,3.9074932244178144e-11
937,7516,204495,56,56,M,RS,0.0,3.9074932244178144e-11
938,7517,204496,56,56,M,PA,0.0,3.9074932244178144e-11
939,7518,204497,56,56,M,PA,0.0,3.9074932244178144e-11
940,7519,204498,56,56,M,PA,0.0,3.9074932244178144e-11
941,7520,204499,56,56,M,BA,0.0,3.9074932244178144e-11
942,7521,204500,56,56,M,PA,0.0,3.9074932244178144e-11
943,7522,204501,56,56,M,SP,0.0,3.9074932244178144e-11
944,7523,204502,56,56,M,SP,0.0,3.9074932244178144e-11
945,7524,204503,56,56,M,SP,0.0,3.9074932244178144e-11
946,7525,204504,56,56,M,BA,0.0,3.9074932244178144e-11
947,7526,204505,56,56,M,RS,0.0,3.9074932244178144e-11
948,7527,204506,56,56,M,ES,0.0,3.9074932244178144e-11
949,7528,204507,56,56,F,SP,0.0,3.9074932244178144e-11
950,7529,204508,56,56,M,MG,0.0,3.9074932244178144e-11
951,7530,204509,56,56,F,PA,0.0,3.9074932244178144e-11
952,7531,204510,56,56,M,MG,0.0,3.9074932244178144e-11
953,7532,204511,56,56,M,RJ,0.0,3.9074932244178144e-11
954,7533,204512,56,56,M,MG,0.0006947259613663908,0.15144414070396148
955,7534,204513,56,56,M,SP,0.0,3.9074932244178144e-11
956,7535,204514,56,56,M,SP,0.0,3.9074932244178144e-11
957,7536,204515,56,56,M,MG,0.0,3.9074932244178144e-11
958,7537,204516,56,56,M,SP,0.0,3.9074932244178144e-11
959,7538,204517,56,56,M,MG,0.0,3.9074932244178144e-11
960,7539,204518,56,56,M,RJ,0.0,3.9074932244178144e-11
961,7540,204519,56,56,M,DF,0.0,3.9074932244178144e-11
962,7541,204520,56,56,M,MG,0.0,3.9074932244178144e-11
963,7542,204521,56,56,M,SP,0.0,3.9074932244178144e-11
964,7543,204522,56,56,M,SP,0.0,3.9074932244178144e-11
965,7544,204523,56,56,M,MG,0.0002581185480910658,6.447363820289394e-09
966,7545,204524,56,56,M,MG,0.0,3.9074932244178144e-11
967,7546,204525,56,56,F,SP,0.0,3.9074932244178144e-11
968,7547,204526,56,56,M,RJ,0.0,3.9074932244178144e-11
969,7548,204527,56,56,M,SP,0.0014082359468550285,0.1502265355321601
970,7549,204528,56,56,F,SP,0.0,3.9074932244178144e-11
971,7550,204529,56,56,F,SP,0.0,3.9074932244178144e-11
972,7551,204530,56,56,M,SP,0.0,3.9074932244178144e-11
973,7552,204531,56,56,M,SP,0.0,3.9074932244178144e-11
974,7553,204532,56,56,M,SP,1.3544858146821069e-05,3.5167439019760326e-10
975,7554,204533,56,56,M,CE,0.0,3.9074932244178144e-11
976,7555,204534,56,56,F,SP,0.0,3.9074932244178144e-11
977,7556,204535,56,56,F,SP,0.0,3.9074932244178144e-11
978,7557,204536,56,56,M,SP,0.0,3.9074932244178144e-11
979,7558,204537,56,56,M,SP,0.0,3.9074932244178144e-11
980,7559,204538,56,56,M,BA,0.0,3.9074932244178144e-11
981,7560,204539,56,56,M,MG,0.0,3.9074932244178144e-11
982,7561,204540,56,56,F,RJ,0.0,3.9074932244178144e-11
983,7562,204541,56,56,M,CE,0.0,3.9074932244178144e-11
984,7563,204542,56,56,M,CE,0.0,3.9074932244178144e-11
985,7564,204543,56,56,M,SP,0.0,3.9074932244178144e-11
986,7565,204544,56,56,M,RJ,0.0,3.9074932244178144e-11
987,7566,204545,56,56,F,RJ,0.0,3.9074932244178144e-11
988,7567,204546,56,56,F,PR,0.0,3.9074932244178144e-11
989,7568,204547,56,56,M,MG,0.0,3.9074932244178144e-11
990,7569,204548,56,56,M,CE,0.0,3.9074932244178144e-11
991,7570,204549,56,56,M,CE,0.0,3.9074932244178144e-11
992,7571,204550,56,56,M,CE,0.0,3.9074932244178144e-11
993,7572,204551,56,56,M,AM,0.0,3.9074932244178144e-11
994,7573,204552,56,56,M,MA,0.0,3.9074932244178144e-11
995,7574,204553,56,56,M,BA,0.0,3.9074932244178144e-11
996,7575,204554,56,56,M,BA,0.0,3.9074932244178144e-11
997,7576,204555,56,56,M,RS,0.0,3.9074932244178144e-11
998,7577,204556,56,56,M,AM,0.0007376536251060139,0.047035421314861776
999,7578,204557,56,56,M,AM,0.0,3.9074932244178144e-11
1000,7579,204558,56,56,M,BA,0.0,3.9074932244178144e-11
1001,7580,204559,56,56,M,BA,0.0,3.9074932244178144e-11
1002,7581,204560,56,56,M,BA,0.0,3.9074932244178144e-11
1003,7582,204561,56,56,M,MA,0.0,3.9074932244178144e-11
1004,7583,204562,56,56,M,MA,0.0,3.9074932244178144e-11
1005,7584,204563,56,56,M,CE,0.0,3.9074932244178144e-11
1006,7585,204564,56,56,M,BA,0.0,3.9074932244178144e-11
1007,7586,204565,56,56,F,BA,0.0,3.9074932244178144e-11
1008,7587,204566,56,56,M,MA,0.0,3.9074932244178144e-11
1009,7588,204567,56,56,M,BA,0.0,3.9074932244178144e-11
1010,7589,204569,56,56,M,AM,0.0,3.9074932244178144e-11
1011,7590,204570,56,56,M,MA,0.0,3.9074932244178144e-11
1012,7591,204571,56,56,M,BA,0.0,3.9074932244178144e-11
1013,7592,204572,56,56,M,CE,0.0,3.9074932244178144e-11
1014,7593,204573,56,56,M,BA,0.0,3.9074932244178144e-11
1015,7594,204574,56,56,M,MA,0.0,3.9074932244178144e-11
1016,7595,204575,56,56,M,MA,0.0,3.9074932244178144e-11
1017,7596,204576,56,56,M,PE,0.0,3.9074932244178144e-11
1025,7604,205476,56,56,M,BA,0.0,3.9074932244178144e-11
1026,7605,205535,56,56,F,MG,0.0,3.9074932244178144e-11
1027,7606,205548,56,56,M,RJ,0.0,3.9074932244178144e-11
1028,7607,205550,56,56,M,MG,0.0,3.9074932244178144e-11
1029,7608,205863,56,56,M,RS,0.0,3.9074932244178144e-11
1030,7609,205865,56,56,M,PR,0.0,3.9074932244178144e-11
1031,7610,206231,56,56,M,ES,0.0,3.9074932244178144e-11
1032,7611,207176,56,56,F,MS,0.0,3.9074932244178144e-11
1033,7612,207309,56,56,M,MG,0.0010792304078065518,0.0444246636340084
1034,7613,209189,56,56,M,BA,0.0,3.9074932244178144e-11
1036,7615,211866,56,56,M,MG,0.0,3.9074932244178144e-11
1037,7616,212504,56,56,M,MG,0.0,3.9074932244178144e-11
1038,7617,212625,56,56,M,MA,0.0,3.9074932244178144e-11
