deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
74079,Jose Priante,50,56,M,0.0,3.9074932244178144e-11,108
74090,Atila Lins,49,56,M,0.0,3.9074932244178144e-11,101
74156,Leonardo Monteiro,52,56,M,0.0,3.9074932244178144e-11,241
74158,Mario Heringer,52,56,M,0.0,3.9074932244178144e-11,223
74159,Odair Cunha,52,56,M,0.0,3.9074932244178144e-11,6
74160,Patrus Ananias,52,56,M,0.0,3.9074932244178144e-11,62
74161,Reginaldo Lopes,52,56,M,0.0,3.9074932244178144e-11,223
74200,Gastao Vieira,50,56,M,0.0,3.9074932244178144e-11,0
74212,Anibal Gomes,50,56,M,0.0,3.9074932244178144e-11,137
74262,Carlos Sampaio,52,56,M,0.0,3.9074932244178144e-11,12
74270,Gilberto Nascimento,52,56,M,0.00010770634589769188,0.07852880349067587,242
74273,Jefferson Campos,52,56,M,0.0,3.9074932244178144e-11,237
74283,Vicentinho,52,56,M,0.0,3.9074932244178144e-11,231
74299,Leonidas Cristino,50,56,M,0.0,3.9074932244178144e-11,228
74305,Roberto Pessoa,50,56,M,0.0,3.9074932244178144e-11,0
74317,Julio Cesar,50,56,M,0.00017047125775502625,0.014873627568171675,188
74319,Paes Landim,48,56,M,0.0,3.9074932244178144e-11,26
74352,Nilson Pinto,51,56,M,0.0,3.9074932244178144e-11,128
74356,Silas Camara,51,56,M,0.0,3.9074932244178144e-11,127
74366,Joao Campos,52,56,M,0.0,3.9074932244178144e-11,173
74371,Rubens Otoni,52,56,M,0.0,3.9074932244178144e-11,269
74376,Vander Loubet,52,56,M,0.0,3.9074932244178144e-11,50
74383,Giacobo,52,56,M,0.0,3.9074932244178144e-11,65
74398,Maria do Rosario,52,56,F,0.0,3.9074932244178144e-11,131
74399,Onyx Lorenzoni,52,56,M,0.0,3.9074932244178144e-11,57
74400,Paulo Pimenta,52,56,M,0.0005367137873555151,0.06684696182510617,97
74419,Gonzaga Patriota,48,56,M,0.0,3.9074932244178144e-11,276
74439,Wolney Queiroz,50,56,M,0.0,3.9074932244178144e-11,130
74459,Atila Lira,48,56,M,0.0,3.9074932244178144e-11,213
74467,Damiao Feliciano,51,56,M,0.0,3.9074932244178144e-11,245
74471,Andre de Paula,51,56,M,0.0,3.9074932244178144e-11,35
74478,Luciano Bivar,51,56,M,0.0,3.9074932244178144e-11,4
74537,Claudio Cajado,50,56,M,0.0,3.9074932244178144e-11,24
74554,Jose Rocha,50,56,M,0.0,3.9074932244178144e-11,68
