id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2211792-15,6855,57196,1.0,0,0,0,2217471
2081914-59,2014,57063,1.0,0,0,0,2208332
2171927-31,2014,57063,1.0,0,0,0,2213679
2057848-132,2014,57063,1.0,0,0,0,2211975
2211826-13,6855,57196,1.0,0,0,0,2216192
2217208-2,538650,57171,1.0,0,0,0,0
2164992-39,2014,57063,1.0,0,0,0,2208334
2081670-36,2014,57063,1.0,0,0,0,2213986
2213376-16,6855,57196,1.0,0,0,0,0
2214564-8,6855,57196,0.0,0,0,0,0
2216263-4,6855,57196,1.0,0,0,0,0
2204056-206,180,57205,1.0,0,0,0,2218422
2215174-2,538546,57165,1.0,0,0,0,0
2216004-2,538546,57165,1.0,0,0,0,0
2216744-2,538546,57165,1.0,0,0,0,0
2216745-2,538546,57165,1.0,0,0,0,0
2216746-2,538546,57165,1.0,0,0,0,0
2216747-2,538546,57165,1.0,0,0,0,0
2216748-2,538546,57165,1.0,0,0,0,0
2216749-2,538546,57165,1.0,0,0,0,0
2216750-2,538546,57165,1.0,0,0,0,0
2216751-2,538546,57165,1.0,0,0,0,0
2216832-2,538546,57165,1.0,0,0,0,0
2210103-12,538471,0,1.0,0,0,0,0
2210103-13,538471,0,1.0,0,0,0,0
2210103-14,538471,0,1.0,0,0,0,0
2204056-174,180,57205,0.0,0,296,66,2217437
2204056-183,180,57205,0.0,0,312,66,2218369
2204056-190,180,57205,1.0,291,87,12,2218422
2204056-192,180,57205,0.0,0,0,0,2218422
2217792-6,180,57205,1.0,0,0,0,0
503022-46,2003,57161,1.0,0,0,0,2214283
2217532-2,538355,57149,1.0,0,0,0,0
2218159-2,538355,57149,1.0,0,0,0,0
2218161-2,538355,57149,1.0,0,0,0,0
2217470-2,538650,57171,1.0,0,0,0,0
2217793-2,538650,57171,1.0,0,0,0,0
2217917-2,538650,57171,1.0,0,0,0,0
2218086-2,538650,57171,1.0,0,0,0,0
2218163-2,538650,57171,1.0,0,0,0,0
2215745-2,538539,57154,1.0,0,0,0,0
2216414-2,538539,57154,1.0,0,0,0,0
2217684-2,538539,57154,1.0,0,0,0,0
2217685-2,538539,57154,1.0,0,0,0,0
2217843-2,538539,57154,1.0,0,0,0,0
2217844-2,538539,57154,1.0,0,0,0,0
2217845-2,538539,57154,1.0,0,0,0,0
2217846-2,538539,57154,1.0,0,0,0,0
2218090-2,538539,57154,1.0,0,0,0,0
2218091-2,538539,57154,1.0,0,0,0,0
2218092-2,538539,57154,1.0,0,0,0,0
2218093-2,538539,57154,1.0,0,0,0,0
2218095-2,538539,57154,1.0,0,0,0,0
