idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1063052-105,1,178952,PMDB,36800,RN
1063052-105,1,160620,PMDB,36800,RJ
1063052-105,1,160518,PMB,36887,MG
1063052-105,1,167493,PDT,36786,MA
1063052-105,1,193066,PMDB,36800,RJ
1063052-105,1,160636,PTB,36845,PB
1063052-105,1,74439,PDT,36786,PE
1063052-105,1,191945,PMDB,36800,RJ
1063052-105,1,178889,PT,36844,MA
1063052-105,1,73931,PT,36844,PA
1063052-105,1,160632,SD,36765,MG
1063052-105,1,178923,PTB,36845,PE
1063052-105,1,160592,PT,36844,PR
1063052-105,1,178902,PT,36844,MS
1063052-105,1,178949,PR,36814,RN
1063052-76,1,178957,PMB,36887,RR
1063052-76,1,178914,PMB,36887,PE
1063052-76,1,178890,PT,36844,MG
1063052-76,1,178968,PTB,36845,SE
1063052-76,1,133374,PROS,36763,MG
1063052-76,1,178903,PSB,36832,MT
1063052-76,1,141372,PR,36814,MG
1063052-76,1,160508,PT,36844,BA
1063052-76,1,178835,PDT,36786,RS
1063052-76,1,160527,PP,36809,PB
1063052-76,1,178836,PRB,36815,AC
1063052-76,1,73579,DEM,36769,DF
1063052-76,1,160559,PMDB,36800,RS
1063052-76,1,160511,REDE,36886,RJ
1063052-76,1,73458,PTB,36845,PR
1063052-76,1,178972,PPS,36813,SP
1063052-76,1,178875,PSDB,36835,GO
1063052-76,1,160545,DEM,36769,SP
1063052-76,1,178833,PSD,36834,RJ
1063052-76,1,178936,PMB,36887,RJ
1063052-76,1,178846,PR,36814,AM
1063052-76,1,74057,PCdoB,36779,BA
1063052-76,1,178927,REDE,36886,PR
1063052-76,1,178937,PR,36814,RJ
1063052-76,1,178973,PT,36844,SP
1063052-76,1,160551,PR,36814,PE
1063052-76,1,178831,PRB,36815,AP
1063052-76,1,178882,PEN,36761,MA
1063052-76,1,160543,PSC,36833,SE
1063052-76,1,178974,PT,36844,SP
1063052-76,1,192120,PCdoB,36779,SC
1063052-76,1,178837,PT,36844,AC
1063052-76,1,160553,PTB,36845,BA
1063052-76,1,141383,PRB,36815,SP
1063052-76,1,73584,PSDB,36835,SP
1063052-76,1,160530,PSDB,36835,BA
1063052-76,1,178950,PMN,36801,RN
1063052-76,1,74103,PROS,36763,CE
1063052-76,1,73433,PT,36844,SP
1063052-76,1,73434,PTB,36845,SP
1063052-76,1,74291,PTB,36845,CE
1063052-76,1,160541,PP,36809,AL
1063052-76,1,178847,PSDB,36835,AM
1063052-76,1,159237,PT,36844,PI
1063052-76,1,74378,PMB,36887,PR
1063052-76,1,74090,PSD,36834,AM
1063052-76,1,74459,PSB,36832,PI
1063052-76,1,73655,SD,36765,DF
1063052-76,1,160665,SD,36765,PE
1063052-76,1,69871,PTN,36848,BA
1063052-76,1,178975,PMDB,36800,SP
1063052-76,1,74535,PTB,36845,BA
1063052-76,1,74040,SD,36765,PB
1063052-76,1,178915,PSDB,36835,PE
1063052-76,1,141335,PT,36844,PA
1063052-76,1,73437,PRB,36815,SP
1063052-76,1,178948,PP,36809,RN
1063052-76,1,141513,PR,36814,MG
1063052-76,1,160538,PT,36844,RS
1063052-76,1,74650,PSDB,36835,MG
1063052-76,1,160589,PSDB,36835,SP
1063052-76,1,178999,PMB,36887,MG
1063052-76,1,178976,PSDB,36835,SP
1063052-76,1,178938,S.PART.,36852,RJ
1063052-76,1,178865,PR,36814,CE
1063052-76,1,105112,PMDB,36800,AP
1063052-76,1,93083,PP,36809,BA
1063052-76,1,178853,PT,36844,BA
1063052-76,1,178891,PSDB,36835,MG
1063052-76,1,178829,PR,36814,SP
1063052-76,1,178958,PHS,36793,RR
1063052-76,1,141401,PMDB,36800,MT
1063052-76,1,74474,PCdoB,36779,PE
1063052-76,1,178962,PRB,36815,RS
1063052-76,1,178993,PMB,36887,TO
1063052-76,1,74163,SD,36765,ES
1063052-76,1,178900,PMDB,36800,MS
1063052-76,1,74651,DEM,36769,MG
1063052-76,1,141398,PT,36844,SP
1063052-76,1,164360,PPS,36813,SC
1063052-76,1,178876,PSDB,36835,GO
1063052-76,1,73568,PMDB,36800,RJ
1063052-76,1,141405,PMDB,36800,SC
1063052-76,1,73441,PRB,36815,SP
1063052-76,1,160576,PRB,36815,TO
1063052-76,1,178838,PSB,36832,AC
1063052-76,1,74171,PSOL,36839,RJ
1063052-76,1,141439,PT,36844,RJ
1063052-76,1,141440,PCdoB,36779,CE
1063052-76,1,178928,PTN,36848,PR
1063052-76,1,178841,PSD,36834,AL
1063052-76,1,178939,PR,36814,RJ
1063052-76,1,74537,DEM,36769,BA
1063052-76,1,141408,PRB,36815,MA
1063052-76,1,178848,PP,36809,AM
1063052-76,1,178963,PP,36809,RS
1063052-76,1,141411,PDT,36786,MS
1063052-76,1,74467,PDT,36786,PB
1063052-76,1,178892,PMB,36887,MG
1063052-76,1,74060,PCdoB,36779,BA
1063052-76,1,178916,PSDB,36835,PE
1063052-76,1,144523,PMDB,36800,GO
1063052-76,1,62881,PSB,36832,CE
1063052-76,1,160552,PSD,36834,RS
1063052-76,-1,73891,PMDB,36800,RS
1063052-76,1,101309,PCdoB,36779,BA
1063052-76,1,141413,PT,36844,SC
1063052-76,1,178908,PSD,36834,PA
1063052-76,1,178893,PTN,36848,MG
1063052-76,1,160646,SD,36765,PR
1063052-76,1,74172,PTB,36845,RJ
1063052-76,1,160588,PSD,36834,MG
1063052-76,1,178929,PHS,36793,PR
1063052-76,1,73768,PP,36809,PR
1063052-76,1,160599,PP,36809,MG
1063052-76,1,143632,PMB,36887,CE
