"idEvento";"uriEvento";"tituloRequerimento";"uriRequerimento"
"58622";"https://dadosabertos.camara.leg.br/api/v2/eventos/58622";"REQ 73/2019 CIDOSO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228275"
"58624";"https://dadosabertos.camara.leg.br/api/v2/eventos/58624";"REQ 71/2019 CIDOSO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227574"
"58626";"https://dadosabertos.camara.leg.br/api/v2/eventos/58626";"REQ 85/2019 CDC";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2221622"
"58630";"https://dadosabertos.camara.leg.br/api/v2/eventos/58630";"REQ 76/2019 CPD";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227138"
"58630";"https://dadosabertos.camara.leg.br/api/v2/eventos/58630";"REQ 66/2019 CPD";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222900"
"58632";"https://dadosabertos.camara.leg.br/api/v2/eventos/58632";"REQ 78/2019 CPD";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228380"
"58633";"https://dadosabertos.camara.leg.br/api/v2/eventos/58633";"REQ 56/2019 CESPO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2214590"
"58633";"https://dadosabertos.camara.leg.br/api/v2/eventos/58633";"REQ 51/2019 CESPO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2210564"
"58633";"https://dadosabertos.camara.leg.br/api/v2/eventos/58633";"REQ 53/2019 CESPO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2211552"
"58636";"https://dadosabertos.camara.leg.br/api/v2/eventos/58636";"REQ 124/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222525"
"58638";"https://dadosabertos.camara.leg.br/api/v2/eventos/58638";"REQ 126/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222897"
"58638";"https://dadosabertos.camara.leg.br/api/v2/eventos/58638";"REQ 145/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2221181"
"58638";"https://dadosabertos.camara.leg.br/api/v2/eventos/58638";"REQ 157/2019 CDHM";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2223603"
"58646";"https://dadosabertos.camara.leg.br/api/v2/eventos/58646";"REQ 6/2019 CDHM";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2194525"
"58658";"https://dadosabertos.camara.leg.br/api/v2/eventos/58658";"REQ 5/2019 CEXOLEO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227274"
"58658";"https://dadosabertos.camara.leg.br/api/v2/eventos/58658";"REQ 16/2019 CEXOLEO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2228276"
"58659";"https://dadosabertos.camara.leg.br/api/v2/eventos/58659";"REQ 52/2019 CMULHER";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219469"
"58664";"https://dadosabertos.camara.leg.br/api/v2/eventos/58664";"REQ 12/2019 CMULHER";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2194610"
"58665";"https://dadosabertos.camara.leg.br/api/v2/eventos/58665";"REQ 118/2019 CTASP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220168"
"58665";"https://dadosabertos.camara.leg.br/api/v2/eventos/58665";"REQ 27/2019 CTASP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2197379"
"58668";"https://dadosabertos.camara.leg.br/api/v2/eventos/58668";"REQ 17/2019 PL109519";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218638"
"58669";"https://dadosabertos.camara.leg.br/api/v2/eventos/58669";"REQ 31/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227418"
"58669";"https://dadosabertos.camara.leg.br/api/v2/eventos/58669";"REQ 18/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219386"
"58669";"https://dadosabertos.camara.leg.br/api/v2/eventos/58669";"REQ 4/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218230"
"58669";"https://dadosabertos.camara.leg.br/api/v2/eventos/58669";"REQ 7/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218414"
"58675";"https://dadosabertos.camara.leg.br/api/v2/eventos/58675";"REQ 109/2019 CFT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227948"
"58676";"https://dadosabertos.camara.leg.br/api/v2/eventos/58676";"REQ 106/2019 CFT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226770"
"58677";"https://dadosabertos.camara.leg.br/api/v2/eventos/58677";"REQ 114/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224472"
"58678";"https://dadosabertos.camara.leg.br/api/v2/eventos/58678";"REQ 127/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229256"
"58679";"https://dadosabertos.camara.leg.br/api/v2/eventos/58679";"REQ 78/2019 CTUR";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226341"
"58687";"https://dadosabertos.camara.leg.br/api/v2/eventos/58687";"REQ 329/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226245"
