idProposicao,idDeputadoAutor
2075833,178932.0
2075832,178932.0
2075831,178932.0
2075830,178932.0
2075829,178918.0
2075828,178918.0
2075822,73579.0
2075821,178866.0
2075820,74856.0
2075818,74856.0
2075817,178873.0
2075816,160643.0
2075815,74856.0
2075815,74398.0
2075814,73486.0
2075813,74553.0
2075812,178862.0
2075809,148134.0
2075808,178945.0
2075807,160518.0
2075806,178945.0
2075805,74277.0
2075804,74277.0
2075803,73655.0
2075802,73655.0
2075801,73655.0
2075800,73655.0
2075799,73655.0
2075798,73655.0
2075797,73655.0
2075796,73655.0
2075795,73655.0
2075794,178887.0
2075793,178900.0
2075792,160643.0
2075791,160643.0
2075791,66179.0
2075789,74398.0
2075788,178896.0
2075786,160677.0
2075785,160536.0
2075784,178931.0
2075783,178931.0
2075782,178931.0
2075781,178931.0
2075780,178931.0
2075779,178931.0
2075778,178931.0
2075777,178896.0
2075776,178931.0
2075774,160517.0
2075771,160636.0
2075771,178882.0
2075770,178861.0
2075768,160636.0
2075766,178859.0
2075760,141536.0
2075759,141536.0
2075757,141536.0
2075755,160602.0
2075754,141536.0
2075752,141536.0
2075750,136811.0
2075746,178993.0
2075744,178851.0
2075743,178851.0
2075741,178851.0
2075740,178851.0
2075739,178851.0
2075738,178851.0
2075737,178851.0
2075734,162332.0
2075730,178980.0
2075729,178868.0
2075727,178980.0
2075726,159238.0
2075726,74048.0
2075726,177282.0
2075724,178866.0
2075723,73788.0
2075722,73788.0
2075721,73788.0
2075720,73788.0
2075719,141516.0
2075718,178932.0
2075717,178932.0
2075716,141516.0
2075715,73655.0
2075714,73655.0
2075713,73655.0
2075712,73655.0
2075710,141430.0
2075709,141430.0
2075708,141430.0
2075707,178932.0
2075706,178932.0
2075705,178932.0
2075704,178932.0
2075703,178932.0
2075702,178932.0
2075701,178932.0
2075700,178932.0
2075699,178888.0
2075698,178932.0
2075697,178932.0
2075696,178932.0
2075695,178932.0
2075694,178832.0
2075692,129618.0
2075690,74253.0
2075689,74253.0
2075688,74253.0
2075686,74253.0
2075685,74253.0
2075682,74319.0
2075681,178976.0
2075680,74319.0
2075679,178866.0
2075677,178849.0
2075676,178849.0
2075675,178849.0
2075674,178849.0
2075673,178849.0
2075672,178849.0
2075671,178849.0
2075670,178849.0
2075669,178849.0
2075668,178849.0
2075667,178849.0
2075666,178849.0
2075665,178849.0
2075664,178849.0
2075663,178849.0
2075662,178849.0
2075661,178849.0
2075660,178849.0
2075659,178849.0
2075658,178849.0
2075657,178849.0
2075656,178849.0
2075655,178849.0
2075654,178849.0
2075653,178868.0
2075652,178849.0
2075651,178849.0
2075650,178849.0
2075649,178868.0
2075648,160573.0
2075647,141394.0
2075646,141430.0
2075645,141430.0
2075644,178988.0
2075643,178988.0
2075642,178988.0
2075641,178988.0
2075640,178988.0
2075639,178988.0
2075638,178988.0
2075637,178988.0
2075636,178988.0
2075635,178932.0
2075634,178932.0
2075633,178932.0
2075632,178932.0
2075631,178932.0
2075629,178932.0
2075628,178932.0
2075627,178932.0
2075626,178932.0
2075623,178932.0
2075621,178932.0
2075619,178932.0
2075618,178988.0
2075615,178988.0
2075614,178861.0
2075613,160604.0
2075612,178861.0
2075611,141450.0
2075610,141450.0
2075609,178932.0
2075607,160654.0
2075606,178913.0
2075605,178913.0
2075604,178913.0
2075603,178901.0
2075601,178913.0
2075600,178913.0
2075599,178913.0
2075597,178932.0
2075595,178932.0
2075594,178932.0
2075587,177282.0
2075586,177282.0
2075580,151965.0
2075578,151965.0
2075576,141536.0
2075575,144523.0
2075574,74585.0
2075572,141427.0
2075571,99654.0
2075570,179000.0
2075569,179000.0
2075568,178869.0
2075567,178869.0
2075566,99654.0
2075564,160649.0
2075563,141408.0
2075562,178842.0
2075560,160649.0
2075559,160575.0
2075558,160649.0
2075557,160649.0
2075555,74040.0
2075554,160582.0
2075553,160649.0
2075550,73553.0
2075547,178946.0
2075546,160582.0
2075544,73553.0
2075542,160649.0
2075540,160649.0
2075539,74040.0
2075538,160649.0
2075537,160572.0
2075537,160665.0
2075536,141408.0
2075535,74040.0
2075534,160649.0
2075533,178952.0
2075532,178946.0
2075530,178933.0
2075529,141450.0
2075528,178933.0
