"idEvento";"uriEvento";"idOrgao";"uriOrgao";"siglaOrgao"
"57315";"https://dadosabertos.camara.leg.br/api/v2/eventos/57315";"538650";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538650";"PL326119"
"57092";"https://dadosabertos.camara.leg.br/api/v2/eventos/57092";"2016";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2016";"CVT"
"57280";"https://dadosabertos.camara.leg.br/api/v2/eventos/57280";"2015";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2015";"CTASP"
"56564";"https://dadosabertos.camara.leg.br/api/v2/eventos/56564";"2012";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2012";"CME"
"57457";"https://dadosabertos.camara.leg.br/api/v2/eventos/57457";"2014";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"CSSF"
"57511";"https://dadosabertos.camara.leg.br/api/v2/eventos/57511";"538468";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538468";"PL109519"
"57519";"https://dadosabertos.camara.leg.br/api/v2/eventos/57519";"538546";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538546";"PL164619"
"57614";"https://dadosabertos.camara.leg.br/api/v2/eventos/57614";"538471";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538471";"GTPENAL"
"57276";"https://dadosabertos.camara.leg.br/api/v2/eventos/57276";"6174";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6174";"CMADS"
"57282";"https://dadosabertos.camara.leg.br/api/v2/eventos/57282";"2017";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2017";"CINDRA"
"57325";"https://dadosabertos.camara.leg.br/api/v2/eventos/57325";"2009";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2009";"CE"
"57336";"https://dadosabertos.camara.leg.br/api/v2/eventos/57336";"537480";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537480";"CPD"
"57508";"https://dadosabertos.camara.leg.br/api/v2/eventos/57508";"2015";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2015";"CTASP"
"57571";"https://dadosabertos.camara.leg.br/api/v2/eventos/57571";"538576";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538576";"SUBLEITE"
"57623";"https://dadosabertos.camara.leg.br/api/v2/eventos/57623";"2003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC"
"57437";"https://dadosabertos.camara.leg.br/api/v2/eventos/57437";"538315";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538315";"PL351515"
"57448";"https://dadosabertos.camara.leg.br/api/v2/eventos/57448";"2018";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2018";"CREDN"
"57540";"https://dadosabertos.camara.leg.br/api/v2/eventos/57540";"538355";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538355";"CEENERGI"
"57569";"https://dadosabertos.camara.leg.br/api/v2/eventos/57569";"538650";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538650";"PL326119"
"57609";"https://dadosabertos.camara.leg.br/api/v2/eventos/57609";"538669";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538669";"PEC02419"
"57628";"https://dadosabertos.camara.leg.br/api/v2/eventos/57628";"538606";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538606";"PEC04519"
"57630";"https://dadosabertos.camara.leg.br/api/v2/eventos/57630";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO"
"56804";"https://dadosabertos.camara.leg.br/api/v2/eventos/56804";"538470";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538470";"PL488112"
"57032";"https://dadosabertos.camara.leg.br/api/v2/eventos/57032";"5503";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5503";"CSPCCO"
"57534";"https://dadosabertos.camara.leg.br/api/v2/eventos/57534";"537480";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537480";"CPD"
"57608";"https://dadosabertos.camara.leg.br/api/v2/eventos/57608";"2010";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2010";"CFT"
"57566";"https://dadosabertos.camara.leg.br/api/v2/eventos/57566";"2014";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"CSSF"
"57695";"https://dadosabertos.camara.leg.br/api/v2/eventos/57695";"2003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC"
"57390";"https://dadosabertos.camara.leg.br/api/v2/eventos/57390";"2017";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2017";"CINDRA"
"57394";"https://dadosabertos.camara.leg.br/api/v2/eventos/57394";"2002";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"CCTCI"
"57546";"https://dadosabertos.camara.leg.br/api/v2/eventos/57546";"2004";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2004";"CDC"
"57550";"https://dadosabertos.camara.leg.br/api/v2/eventos/57550";"6174";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6174";"CMADS"
"57551";"https://dadosabertos.camara.leg.br/api/v2/eventos/57551";"2008";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2008";"CDEICS"
"57556";"https://dadosabertos.camara.leg.br/api/v2/eventos/57556";"2012";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2012";"CME"
"57557";"https://dadosabertos.camara.leg.br/api/v2/eventos/57557";"2006";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2006";"CDU"
"57561";"https://dadosabertos.camara.leg.br/api/v2/eventos/57561";"2009";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2009";"CE"
"57584";"https://dadosabertos.camara.leg.br/api/v2/eventos/57584";"2015";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2015";"CTASP"
"57616";"https://dadosabertos.camara.leg.br/api/v2/eventos/57616";"2011";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2011";"CFFC"
"57635";"https://dadosabertos.camara.leg.br/api/v2/eventos/57635";"2018";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2018";"CREDN"
"57564";"https://dadosabertos.camara.leg.br/api/v2/eventos/57564";"2010";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2010";"CFT"
"57579";"https://dadosabertos.camara.leg.br/api/v2/eventos/57579";"537871";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537871";"CIDOSO"
"57626";"https://dadosabertos.camara.leg.br/api/v2/eventos/57626";"537236";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537236";"CESPO"
"57612";"https://dadosabertos.camara.leg.br/api/v2/eventos/57612";"536996";"https://dadosabertos.camara.leg.br/api/v2/orgaos/536996";"CCULT"
"57565";"https://dadosabertos.camara.leg.br/api/v2/eventos/57565";"536996";"https://dadosabertos.camara.leg.br/api/v2/orgaos/536996";"CCULT"
"57567";"https://dadosabertos.camara.leg.br/api/v2/eventos/57567";"537480";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537480";"CPD"
"57568";"https://dadosabertos.camara.leg.br/api/v2/eventos/57568";"5503";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5503";"CSPCCO"
"57573";"https://dadosabertos.camara.leg.br/api/v2/eventos/57573";"6066";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6066";"CTUR"
"57576";"https://dadosabertos.camara.leg.br/api/v2/eventos/57576";"537870";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537870";"CMULHER"
"57643";"https://dadosabertos.camara.leg.br/api/v2/eventos/57643";"5438";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"CLP"
"57644";"https://dadosabertos.camara.leg.br/api/v2/eventos/57644";"2007";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2007";"CDHM"
"57697";"https://dadosabertos.camara.leg.br/api/v2/eventos/57697";"538471";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538471";"GTPENAL"
"57018";"https://dadosabertos.camara.leg.br/api/v2/eventos/57018";"537236";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537236";"CESPO"
"57504";"https://dadosabertos.camara.leg.br/api/v2/eventos/57504";"538621";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538621";"CEXOBRAS"
"57574";"https://dadosabertos.camara.leg.br/api/v2/eventos/57574";"538484";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538484";"PL230315"
"57578";"https://dadosabertos.camara.leg.br/api/v2/eventos/57578";"538548";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538548";"PEC04819"
